Church Name,County,Denomination,Location
First,Charleston,(Scotch) Presbyterian,Charleston
Beth Elohim,Charleston,Synagogue,Charleston
Rosemont,Charleston,S.B.C.,
Grace Chapel,Charleston,Protestant Episcopal,Rockville
Chapel of the Holy Cross Protestant Episocpal,Charleston,,Sullivan's Island
Church of Jesus Christ of Latter-Day Saints (Mormon),Charleston,Church of Jesus Christ of Latter-Day Saints (Mormon),Charleston
Brith Shalom,Charleston,Synagogue,Charleston
Green Street,Charleston,Negro Baptist,Charleston
First,Charleston,Baptist,Charleston
Unitarian Church of Charleston,Charleston,,
First Church of Christ-Scientist,Charleston,,Charleston
Beth Israel,Charleston,Synagogue,Charleston
St. John the,Charleston,Baptist Catholic,Charleston
Our Lady of Mercy,Charleston,Roman Catholic,Charleston
Second,Charleston,Presbyterian,Charleston
Trinity,Charleston,Greek Orthodox,Charleston
McClellanville,Charleston,M.E.S.,McClellanville
Tibwin,Charleston,A.M.E.,Tibwin
Bethel,Charleston,A.M.E.,McClellanville
Union,Charleston,A.M.E.,Awendaw
New Wappetaw,Charleston,Presbyterian,McClellanville
Wrens,Charleston,M.E.S.,
Ocean Grove,Charleston,M.E.S.,Awendaw
Johnson Chapel,Charleston,A.M.E.,
Lovely Mountain,Charleston,Negro Baptist,
Jerusalem,Charleston,Negro Baptist,Charleston
Ashley,Charleston,Negro Baptist,Edisto Island
Trinity,Charleston,C.M.E.,Charleston
St. Andrew's Episcopal Mission,Charleston,Episcopal,Charleston
St. Andrew's,Charleston,Lutheran,Charleston
St. Andrew's,Charleston,Protestant Episcopal,St. Andrew's Parish
St. Barnabas,Charleston,Evangelical Lutheran,Charleston
St. Frances,Charleston,M.E.S.,Meggett
St. James,Charleston,A.M.E.,
St. James,Charleston,A.M.E.,Meggett
St. James,Charleston,A.M.E.,
St. James Bethel,Charleston,A.M.E.,Wad-John's Island
St. James,Charleston,Presbyterian,James Island
St. James malaw Island,Charleston,,
St. James,Charleston,Protestant Episcopal,James Island
St.,Charleston,Protestant Episcopal,James Island
St. James,Charleston,Protestant Episcopal,McClellanville
St. Johannes,Charleston,German Lutheran,Charleston
St. John's,Charleston,Lutheran,Charleston
St. John's,Charleston,Protestant Episcopal,Charleston
St. John's,Charleston,Protestant Episcopal,John's Island
St. John's,Charleston,Reformed Episcopal,Charleston
St. Joseph's,Charleston,Roman Catholic,Charleston
St. Jude,Charleston,A.M.E.,
St. Philip's,Charleston,Protestant Episcopal,Charleston
St. Luke's,Charleston,A.M.E.,Wadmalaw Island
St. Luke's,Charleston,Reformed Episcopal,Charleston
St. Luke's,Charleston,Protestant Episcopal,Charleston
St. Mary's,Charleston,Roman Catholic,Charleston
St. Mark's,Charleston,A.M.E.,
St. Mark's,Charleston,Protestant Episcopal (Negro),Charleston
St. Matthew,Charleston,A.M.E.,John's Island
St. Matthew's,Charleston,Evangelical Lutheran,Charleston
St. Michael's,Charleston,Protestant Episcopal,Charleston
St. Patrick,Charleston,Roman Catholic,Charleston
St. Paul,Charleston,A.M.E.,
St. Paul,Charleston,Negro Baptist,Charleston
St. Paul's,Charleston,Protestant Episcopal,Charleston
St. Paul's,Charleston,Protestant Episcopal,Meggett
St. Peter's-by-the-Sea,Charleston,Protestant Episcopal,North Charleston
St. Peter's,Charleston,Episcopal,Charleston
St. Peter's,Charleston,Protestant Episcopal,Charleston
St. Peter's,Charleston,Reformed Episcopal,
St. Peter's,Charleston,Roman Catholic,Charleston
St. Stephen's,Charleston,A.M.E.,John's Island
St. Stephen's Chapel,Charleston,Protestant Episcopal,Charleston
Sacred Heart of Jesus,Charleston,Roman Catholic,Charleston
Salem,Charleston,Negro Baptist,Charleston
Salem,Charleston,Negro Baptist,Wadmalaw Island
Salem,Charleston,Presbyterian (Negro),Wadmalaw Island
Seventh Day Adventist,Charleston,Seventh Day Adventist,Charleston
Shiloh,Charleston,A.M.E.,
Spring Street,Charleston,M.E.S.,Charleston
Star Gospel Mission,Charleston,,Charleston
Limestone,Cherokee,Presbyterian,Gaffney
State Line,Cherokee,S.B.C.,
Broad River,Cherokee,Baptist,Blacksburg
Love Springs,Cherokee,S.B.C.,
Church of the Incarnation,Cherokee,Protestant Episcopal,Gaffney
Elizabeth,Chesterfield,S.B.C.,Mt. Croghan
Mt. Croghan,Chesterfield,S.B.C.,
Timmonsville,Chesterfield,Negro Baptist,
Zion,Chesterfield,A.M.E.,Chesterfield
Mt. Level,Chesterfield,Negro Baptist,
Chesterfield,Chesterfield,Presbyterian (Negro),Chesterfield
Grand View,Chesterfield,Presbyterian (Negro),Chesterfield
Ruby,Chesterfield,Presbyterian (Negro),Ruby
Pageland Presbyterian (Negro) Pageland,Chesterfield,,
Gum Spring,Chesterfield,Negro Baptist,
Sweet Home,Chesterfield,Negro Baptist,
New Zion,Chesterfield,Negro Baptist,Chesterfield
Davidson Grove,Chesterfield,Negro Baptist,
Thompson Creek,Chesterfield,S.B.C.,
White Oak,Chesterfield,Presbyterian,Ruby
Pageland,Chesterfield,S.B.C.,Pageland
Providence,Chesterfield,S.B.C.,
Long Branch,Chesterfield,S.B.C.,
Westfield,Chesterfield,S.B.C.,
Bethlehem,Chesterfield,S.B.C.,
Ruby,Chesterfield,S.B.C.,Ruby
Rocky Creek,Chesterfield,S.B.C.,
Antioch,Chesterfield,S.B.C.,
Ebenezer,Chesterfield,M.E.S.,
Salem,Chesterfield,Negro Baptist,Chesterfield
Wesley Chapel,Chesterfield,A.M.E.,
Pleasant Hill,Chesterfield,S.B.C.,
Mt. Olive,Chesterfield,M.E.S.,
Lower Macedonia,Chesterfield,S.B.C.,
Zoar,Chesterfield,Methodist,
St. Paul,Chesterfield,Negro Baptist,
Union Hill,Chesterfield,Negro Baptist,
John Wesley,Chesterfield,Negro M.E.,Pageland
Peniel,Chesterfield,M.E.S.,
High Point,Chesterfield,S.B.C.,
Rivers Chapel,Chesterfield,Negro Baptist,
Drucilla Zion,Chesterfield,Methodist (Negro),Chesterfield
Clanton Plains,Chesterfield,S.B.C.,
Liberty Hill,Chesterfield,S.B.C.,Pageland
Wolf Pond,Chesterfield,S.B.C.,
St. Mary,Chesterfield,Negro Baptist,Chesterfield
Flint Ridge,Chesterfield,Negro Baptist,
McBee,Chesterfield,S.B.C.,McBee
McBee,Chesterfield,M.E.S.,McBee
McBee,Chesterfield,Presbyterian,McBee
St. Paul,Chesterfield,M.E.S.,Chesterfield
Providence,Chesterfield,M.E.S.,McBee
Union,Chesterfield,M.E.S.,McBee
Angelus,Chesterfield,M.E.S.,Angelus
Beauford,Chesterfield,S.B.C.,
Hopewell,Chesterfield,Negro Baptist,
McBee Chapel,Chesterfield,A.M.E. Zion,McBee
Sandy Run,Chesterfield,Negro Baptist,
Galilee,Chesterfield,Negro Baptist,McBee
Clark's Chapel,Chesterfield,A.M.E. Zion,
Mt. Elon,Chesterfield,Negro M.E.,
Salem,Chesterfield,M.E. Zion,Pageland
Wilks Chapel,Chesterfield,M.E.S.,
Prospect,Chesterfield,M.E.S.,
Hebron,Chesterfield,M.E.S.,
Middendorf,Chesterfield,S.B.C.,
Zion Hill,Chesterfield,Negro Baptist,
Bethel,Chesterfield,A.M.E.,
Brown Springs,Chesterfield,S.B.C.,
Cedar Creek,Chesterfield,S.B.C.,
Shiloh,Chesterfield,M.E.S.,
Patrick,Chesterfield,Presbyterian,Patrick
Morning Star,Chesterfield,Negro Baptist,Patrick
Jefferson,Chesterfield,S.B.C.,Jefferson
Fort Creek M.E.S.: Mt. Olivet,Chesterfield,S.B.C.,
Patrick,Chesterfield,S.B.C.,Patrick
Tabernacle,Chesterfield,M.E.S.,McBee
Zoar,Chesterfield,M.E.S.,
Jefferson,Chesterfield,M.E.S.,Jefferson
Hopewell,Chesterfield,Negro M.E.,Jefferson
Mt. Canon,Chesterfield,Negro Baptist,Jefferson
Palmetto,Chesterfield,S.B.C.,
Bethel,Chesterfield,S.B.C.,
White Plains,Chesterfield,S.B.C.,
New St. David,Chesterfield,Protestant Episcopal,Cheraw
Pentecostal Holiness,Chesterfield,Pentecostal Holiness,Cheraw
Mt. Taber,Chesterfield,M.E.S.,Chesterfield
Mt. Zion,Chesterfield,C.M.E.,
Wesley,Chesterfield,Negro M.E.,Cheraw
Teal's Chapel,Chesterfield,Negro Baptist,
Second,Chesterfield,Presbyterian (Negro),Cheraw
Chesterfield,Chesterfield,S.B.C.,Chesterfield
Pine Grove,Chesterfield,S.B.C.,
David Grove,Chesterfield,S.B.C.,
McDonald Presbyterian Mission (Negro),Chesterfield,Presbyterian,
Powe Presbyterian Mission (Negro),Chesterfield,Presbyterian,
Westside,Chesterfield,S.B.C,Cheraw
Cheraw First,Chesterfield,Presbyterian,Cheraw
Mt. Hebron,Chesterfield,A.M.E. Zion,Cheraw
Triumph,Chesterfield,Holiness Church of God (Negro),Cheraw
Union Pee Dee,Chesterfield,Negro Baptist,Cheraw
Cheraw,Chesterfield,S.B.C.,Cheraw
Cheraw First,Chesterfield,M.E.S.,Cheraw
St. Peter's,Chesterfield,Roman Catholic,Cheraw
Friendship,Chesterfield,M.E.S.,
First,Clarendon,Negro Baptist,Sardinia
Gable A.M.E. Mission,Clarendon,A.M.E.,
Melina,Clarendon,Presbyterian (Negro),
Old Nathan's,Clarendon,Presbyterian (Negro),
St. Matthews,Clarendon,A.M.E.,
Harmony Elizabeth,Clarendon,Presbyterian (Negro),
Reevesville,Clarendon,A.M.E.,
New Hope,Clarendon,A.M.E.,
Fellowship,Clarendon,Negro Baptist,
A.M.E. Chapel,Clarendon,A.M.E.,Alcolu
Howard A.M.E. Chapel,Clarendon,A.M.E.,
Good Hope (Negro),Clarendon,,Brogdon
Fourth Cross Roads,Clarendon,(Ridgell Shed) Baptist (Negro),
Hickory Grove,Clarendon,African Free Will Baptist (Negro),
Shiloh,Clarendon,A.M.E.,Forreston
St. Peter's,Clarendon,Baptist (Negro),Brogdon
Westminster,Clarendon,Presbyterian (Negro),
Rock Hill,Clarendon,Baptist (Negro),
King's Chapel -Christian Faith (Negro),Clarendon,,
Williams Chapel - Christian Faith (Negro),Clarendon,,
Trinity,Clarendon,A.M.E.,Manning
St. James,Clarendon,A.M.E.,
Liberty Hill,Clarendon,A.M.E.,
New Hope-Union,Clarendon,M.E. (Negro),
St. Mark's,Clarendon,A.F.W.,
Ebenezer,Clarendon,Baptist (Negro),Manning
Fire Baptized Holiness (Negro),Clarendon,Fire Baptized Holiness (Negro),Manning
Taw Caw,Clarendon,Baptist (Negro),
Briggs Chapel (Negro Baptist),Clarendon,,
Mt. Zero,Clarendon,Baptist (Negro),
Mt. Siani,Clarendon,Fire Baptized Holiness (Negro),Bloomville
Mt. Hope,Clarendon,Pentecostal Holiness (Negro),
New Zion,Clarendon,A.M.E.,Forreston
St. Mark's,Clarendon,A.M.E.,Summerton
Union Hill,Clarendon,A.F.W. Baptist,
Antioch,Clarendon,Baptist (Negro),
St. James,Clarendon,A.M.E.,
Light Hill,Clarendon,African Hard Shell Baptist,
Mt. Zion,Clarendon,A.M.E.,
New Hope,Clarendon,Reformed M.E. (Negro),
Sardinia,Clarendon,Presbyterian U.S. (Negro),Sardinia
Trinity,Clarendon,Methodist M.E.S. (Negro),
Home Branch,Clarendon,S.B.C.,
Clarendon,Clarendon,S.B.C.,Alcolu
Midway,Clarendon,Presbyterian U.S.,
New Harmony,Clarendon,Presbyterian U.S.,
New Harmony,Clarendon,Presbyterian U.S.,
Manning,Clarendon,Presbyterian U.S.,Manning
Brewington,Clarendon,Presbyterian U.S.,Manning
All Saints,Clarendon,Prot. Episcopal (Negro),Manning
Summerton,Clarendon,Presbyterian U.S.,Summerton
Pinegrove,Clarendon,M.E.S.,Turbeville
Horse Branch,Clarendon,Free Will Baptist (Negro),
Rehobeth,Clarendon,M.E.S.,
Turbeville,Clarendon,S.B.C.,Turbeville
Oak Grove,Clarendon,M.E.S.,
Live Oak,Clarendon,M.E.S.,
Manning,Clarendon,S.B.C.,Manning
St. Paul,Clarendon,Holiness Church of God (Negro),
Mt. Carmel,Clarendon,Presbyterian (Negro),Manning
Jordan,Clarendon,Presbyterian (Negro),Jordan
Pisgah,Clarendon,Pentecostal Holiness (Negro),
Paxville,Clarendon,S.B.C.,Paxville
St. Mary's Roman Catholic Chapel,Clarendon,Roman Catholic,Summerton
Tump Spring or First,Clarendon,Negro Baptist,
Union,Clarendon,M.E.S.,Wilson's Hill
Summerton,Clarendon,S.B.C.,Summerton
Forreston,Clarendon,M.E.S.,Forreston
Forreston,Clarendon,S.B.C.,Forreston
Friendship,Clarendon,Presbyterian (Negro),
Manning,Clarendon,M.E.S.,Manning
Green Savannah,Clarendon,Free Will Baptist (Negro),
Mulberry,Clarendon,Negro Baptist,
Union Cypress,Clarendon,A.M.E.,
Calvary,Clarendon,S.B.C.,
Spring Hill,Clarendon,A.M.E.,
Bethel Mission,Clarendon,A.M.E.,
Coley A.M.E. Chapel,Clarendon,A.M.E.,Jordan
Green Hill,Clarendon,Negro Baptist,Alcolu
Jordan,Clarendon,M.E.S.,Jordan
Dudley,Clarendon,(Moriah) S.B.C.,Harvin
Oakland,Clarendon,M.E.S.,Harvin
Paxville,Clarendon,M.E.S.,Paxville
Rock Hill,Clarendon,Negro Baptist,
Society Hill,Clarendon,A.M.E.,
Calvary,Clarendon,Negro Baptist,
St. Paul's,Clarendon,M.E.S.,
Summerton,Clarendon,M.E.S.,Summerton
Mt. Moriah Union,Clarendon,M.E. (Negro),
Goodwill,Clarendon,African Free Will Baptist,Bloomville
St. John's,Clarendon,Negro Baptist,Jordan
New Life,Clarendon,Negro Baptist,Davis Station
New Branch Union,Clarendon,M.E.,
Antioch-R.Union,Clarendon,M.E.,Rimini
Mt. Chapel,Clarendon,Negro Baptist,
New St. Philip's,Clarendon,A.M.E,
St. Phillips,Clarendon,A.M.E.,
St. James,Clarendon,A.M.E.,
Jerusalem,Clarendon,Negro Baptist,
Mt. Pleasant R.U.,Clarendon,M.E. (Negro),Panola
Briggers,Clarendon,A.M.E.,
Andrews Chapel,Clarendon,M.E.S.,
Mother Church,Clarendon,Free Will Baptist,
Hopewell,Clarendon,Baptist S.B.C.,
Bethlehem,Clarendon,M.E.S.,
New Zion,Clarendon,Negro Baptist,
Wilson's Grove,Clarendon,African Free Will Baptist,
Millwood Chapel,Clarendon,Sanctified Holiness (Negro),
DeLain,Clarendon,A.M.E.,
Macedonia,Clarendon,Negro Baptist,
Santee,Clarendon,A.M.E.,
A.M.E. Chapel,Clarendon,A.M.E.,Paxville
New Rehobeth,Clarendon,M.E.S.,
Triumph,Clarendon,Sanctified-non-denom.,Manning
Mt. Carmel,Clarendon,African Free Will Baptist,Manning
New Light,Clarendon,Negro (Hardshell) Baptist,Manning
Holly Hill,Clarendon,Negro Baptist,
New Jerusalem,Clarendon,Free Will Baptist,
Lodobar,Clarendon,A.M.E.,
Laurel Hill,Clarendon,A.M.E.,
Mt. Nebo,Clarendon,Negro Baptist,
St. Philip,Clarendon,R.M.U.E. (Negro),
St. Philip,Clarendon,R.M.U.E. (Negro),
Black Creek,Colleton,S.B.C.,
Smoaks,Colleton,S.B.C.,Smoaks
St. Anthony's,Colleton,Roman Catholic,Walterboro
Great Swamp,Colleton,S.B.C.,Walterboro
Ruffin,Colleton,S.B.C.,Ruffin
Cottageville,Colleton,S.B.C.,Cottageville
Shiloh,Colleton,Primitive Baptist,
Peniel Primitive Baptist Church (No. 2),Colleton,Primitive Baptist,
Bethel S.B.C.-Round 0,Colleton,,
Ashton,Colleton,M.E.S.,Ashton
Bethel,Colleton,Presbyterian,Walterboro
St. Jude's,Colleton,Protestant Episcopal,Walterboro
Hendersonville,Colleton,S.B.C.,Hendersonville
Zion,Colleton,S.B.C.,Walterboro
Bethlehem,Colleton,S.B.C.,Walterboro
Spring Hill,Colleton,S.B.C.,
Pine Grove,Colleton,S.B.C.,
Carter's Ford,Colleton,S.B.C.,
St. John's,Colleton,A.M.E.,Ruffin
Bedon's,Colleton,S.B.C.,
Walterboro,Colleton,S.B.C.,Walterboro
Peniel,Colleton,S.B.C.,
Williams,Colleton,S.B.C.,Williams
Williams,Colleton,M.E.S.,Williams
Doctor's Creek,Colleton,S.B.C.,
Bethel,Colleton,M.E.,Walterboro
St. Bartholomew,Colleton,Protestant Episcopal,
Mt. Carmel,Colleton,M.E.S.,
Ruffin,Colleton,M.E.S.,
Pleasant Grove,Colleton,S.B.C.,
Canaan,Colleton,S.B.C.,
Mt. Tabor,Colleton,M.E.S.,
Mt. Zion,Colleton,Negro Baptist,
Evergreen,Colleton,Negro Baptist,Williams
Marion,Colleton,S.B.C.,Williams
St. James,Colleton,Roman Catholic (Negro),Colleton
Walterboro,Colleton,Jewish Congregation,Walterboro
Hartsville First,Darlington,S.B.C.,Hartsville
Wesley,Darlington,M.E.S.,Hartsville
Bethel,Darlington,M.E.S.,
St. Bartholomew,Darlington,Prot. Epis.,Hartsville
Wesley Chapel,Darlington,M.E.S.,
Hartsville,Darlington,Presbyterian,Hartsville
Church of Jesus Christ,Darlington,Latter Day Saints,Darlington
Trinity,Darlington,M.E.S.,Darlington
Darlington,Darlington,Presbyterian,Darlington
Darlington First,Darlington,S.B.C.,Darlington
St. Matthew's,Darlington,Protestant Episcopal,Darlington
Central,Darlington,S.B.C.,Darlington
Welsh Neck,Darlington,S.B.C.,Society Hill
Christian Science Society,Darlington,,Darlington
Black Creek,Darlington,S.B.C.,Dovesville
Fourth Street,Darlington,S.B.C.,Hartsville
Latter Day Saints or,Darlington,Mormon,Hartsville
East Side,Darlington,S.B.C.,Hartsville
Twitty Chapel,Darlington,M.E.S.,Hartsville
Kelleytown,Darlington,S.B.C.,Kelleytown
Gum Branch,Darlington,S.B.C.,
New Providence,Darlington,S.B.C.,
Antioch,Darlington,S.B.C.,
Antioch Baptist Mission (Negro),Darlington,Baptist,
Kay Branch,Darlington,Negro Baptist,Hartsville
Lawson Grove,Darlington,Negro Baptist,
Mt. Pisgah,Darlington,Presbyterian (Negro),Hartsville
Jerusalem,Darlington,Negro Baptist,Hartsville
Centenary,Darlington,A.M.E.,Hartsville
Mt. Calvary,Darlington,A.M.E.,Hartsville
Centerville,Darlington,A.M.E.,Hartsville
Church of God-Undenom.,Darlington,Church of God-Undenom.,
Congregational Holiness,Darlington,Congregational Holiness,Congregational
Mt. Elon,Darlington,S.B.C.,
Nathan's Temple,Darlington,Fire Baptized Holiness Church of God of America (Negro),
Wesley A.M.E. Chapel,Darlington,A.M.E.,
Bethlehem,Darlington,Methodist,
The Church of God- Church of God - Darlington,Darlington,,
Kelly Bell,Darlington,A.M.E.,
Friendship,Darlington,Negro Baptist,Darlington
St. James,Darlington,A.M.E.,Darlington
Mt. Teman,Darlington,Negro Baptist,
Darlington Second,Darlington,S.B.C.,Darlington
Macedonia,Darlington,Negro Baptist (Nat'l Bap. Convention),Darlington
Josey A.M.E. Chapel,Darlington,A.M.E.,
Mt. Calvary,Darlington,Negro Baptist,
Kingsville,Darlington,A.M.E.,
Pentecostal Holiness-Holiness,Darlington,Pentecostal Holiness-Holiness,Darlington
Chapel Hill,Darlington,S.B.C.,
Bethel,Darlington,A.M.E.,Darlington
Green Hill,Darlington,Negro Baptist,
Salem,Darlington,M.E.S.,
Prospect,Darlington,M.E.S.,
Free Will,Darlington,S.B.C.,Darlington
Lamar,Darlington,Presbyterian,Lamar
Pine Grove,Darlington,M.E.S.,
Philadelphia,Darlington,M.E.S.,
Lake Swamp,Darlington,S.B.C.,
Shiloh,Darlington,M.E.,
Mechanicsville,Darlington,S.B.C.,Mechanicsville
Lamar,Darlington,S.B.C.,Lamar
Lamar,Darlington,M.E.S.,Lamar
Epworth,Darlington,M.E.S.,Darlington
Elim,Darlington,M.E.S.,
Savannah,Darlington,African M.E.,
St. Johns,Darlington,A.M.E.,
Church of God-Church of God-Darlington,Darlington,,
Zion,Darlington,M.E.S.,
Pleasant Grove,Darlington,Negro Baptist,
New Providence,Darlington,Negro Baptist,
Mt. Olive,Darlington,Holiness-Apostolic Faith Church of God and Christ,Hartsville
Mt. Olive,Darlington,S.B.C.,Patrick
New Hopewell,Darlington,Negro Baptist,
Bethney,Darlington,Negro Baptist,Lamar
Mt. Zion,Darlington,Negro Baptist,
Union M.E. Church,Darlington,M.E.,
Church of God- Pentecostal Holiness,Darlington,Church of God- Pentecostal Holiness,
Friendship Chapel,Darlington,Pentecostal Holiness,
St. Pauls,Darlington,A.M.E.,
Union,Darlington,Negro Baptist,Society Hill
Trinity,Darlington,Prot. Epis.,Society Hill
Newman Swamp Meth. Epis. Mt. Beulah,Darlington,C.M.E. (Negro),
Bethany,Darlington,Negro Baptist,Lamar
New Market,Darlington,M.E.S.,
Cross Roads,Darlington,Free Will Baptist,
Mont Clare Mission,Darlington,non-denom.,Mont Clare
Cherry Grove,Darlington,Negro Baptist,
Bethesda,Darlington,Negro Baptist,Society Hill
Darlington,Darlington,Jewish Congregation-Reform,Darlington
Round O,Darlington,Negro Baptist,Mont Clare
John Wesley,Darlington,M.E. (Negro),Lamar
Society Hill,Darlington,Presbyterian,Society Hill
Main Street Lower,Dillon,M.E.S.,Dillon
Bowling Green,Dillon,A.M.E.,
New Harley,Dillon,A.M.E.,
Latta,Dillon,S.B.C.,Latta
Dillon Main,Dillon,M.E.S.,Dillon
Pine Hill,Dillon,A.M.E.,
Catfish,Dillon,S.B.C.,
Dillon,Dillon,S.B.C.,Dillon
Little Rock,Dillon,S.B.C.,Little Rock
Dillon,Dillon,Presbyterian,Dillon
Sardis,Dillon,S.B.C.,
Pyerian,Dillon,S.B.C.,
St. Paul A.M.E. Floydale,Dillon,,
Lake View,Dillon,S.B.C.,Lake View
Mt. Andrews,Dillon,M.E.S.,
Reedy Creek,Dillon,Presbyterian,
Bear Swamp,Dillon,S.B.C.,
Pentecostal Holiness Mission,Dillon,Pentecostal Holiness,Lake View
Kentyne,Dillon,Presbyterian,
Latta,Dillon,Presbyterian,Latta
Indian New Hope,Dillon,Holiness Meth,
St. Barnabus,Dillon,Prot. Epis.,Dillon
Latta,Dillon,M.E.S.,Latta
Little Zion,Dillon,Negro Baptist,
Mt. Calvary,Dillon,S.B.C.,
Pleasant Grove,Dillon,S.B.C.,
Bermuda,Dillon,S.B.C.,
Mt. Zion,Dillon,S.B.C.,
Hamer,Dillon,Presbyterian,Hamer
Dillon Mill,Dillon,S.B.C.,Dillon
Shady Grove,Dillon,Negro Baptist,
Piney Grove,Dillon,S.B.C.,
Fork,Dillon,S.B.C.,Fork
Pleasant Hill,Dillon,S.B.C.,
Kemper S.B.C. Kemper,Dillon,,
Union A.M.E. Chapel,Dillon,A.M.E.,
Ohav Shalom-Reform-Masonic Temple,Dillon,,Dillon
Hopewell,Dillon,M.E.S.,Fork
Andrews Chapel,Dillon,C.M.E. (Negro),Latta
St. Stephens,Dillon,C.M.E. (Negro),Dillon
Weston A.M.E. Chapel,Dillon,A.M.E.,Latta
Bethel,Dorchester,A.M.E.,St. George
St. George,Dorchester,M.E.S.,St. George
Memorial,Dorchester,S.B.C.,St. George
Summerville,Dorchester,Presbyterian,Summerville
St. Matthews,Dorchester,Negro Baptist,Reevesville
Reevesville,Dorchester,S.B.C.,Reevesville
St. George's,Dorchester,Prot. Epis.,Dorchester
Dorchester,Dorchester,Congregational (or Independent),Dorchester
Jedburg,Dorchester,Presbyterian,Jedburg
Mt. Tabor,Dorchester,M.E.S.,Ridgeville
Zion,Dorchester,S.B.C.,
Limestone,Dorchester,S.B.C.,
Ridgeville,Dorchester,S.B.C.,Ridgeville
Grover,Dorchester,M.E.S.,Grover
Trinity,Dorchester,M.E.S.,Givan
Appleby's,Dorchester,M.E.S.,
Shepherd,Dorchester,S.B.C.,
Church of Christ-Christian-Harleyville,Dorchester,,
Harleyville,Dorchester,M.E.S.,Harleyville
Red Bank,Dorchester,A.M.E. (Negro),
Bethel,Dorchester,A.M.E.,Ridgeville
Rock Hill,Dorchester,Negro Baptist,
Jerusalem,Dorchester,C.M.E.,Harleyville
Church of Christ-Hol. (Negro),Dorchester,Church of Christ-Hol. (Negro),
St. Luke,Dorchester,A.M.E.,
Jerusalem,Dorchester,Negro Baptist,
Zion,Dorchester,M.E.S.,
Salem,Dorchester,M.E.S.,Dorchester
Jedburg,Dorchester,S.B.C.,Jedburg
Indian Field,Dorchester,M.E.S.,Rosinville
Reevesville,Dorchester,M.E.S.,Reevesville
Duncan M.E.S. Chapel,Dorchester,M.E.S.,
Pine Grove No. 2,Dorchester,S.B.C.,Givan
New Hope,Dorchester,M.E.,
St. Pauls,Dorchester,Prot. Epis.,Summerville
St. Matthews,Dorchester,S.B.C.,
Pregnall,Dorchester,M.E.S.,Pregnall
St. Barnabas,Dorchester,Prot. Epis.,Summerville
Beulah,Dorchester,S.B.C.,
St. George,Dorchester,S.B.C.,
St. Lukes,Dorchester,Evang. Lutheran,Summerville
St. John The Beloved,Dorchester,Roman Cath.,Summerville
Harvey Chapel,Dorchester,Negro Baptist,
Jericho,Dorchester,Negro Baptist,
St. Peters,Dorchester,M.E.,
Greenville,Dorchester,M.E.,
First,Dorchester,Baptist (Negro),Summerville
Pregnall,Dorchester,Baptist (Negro),
Branch,Dorchester,M.E.S.,
Bethany,Dorchester,M.E.S.,Summerville
Summerville,Dorchester,S.B.C.,Summerville
Stallsville,Dorchester,M.E.S.,Stallsville
Boone Hill,Dorchester,M.E.S.,
Cypress,Dorchester,M.E.S.,
Church of the Epiphany,Dorchester,Prot.Epis. (Negro),Summerville
Bethel,Dorchester,Seventh Day Adventist (Negro),Summerville
St. Stephens,Dorchester,Ref.Epis. (Negro),Summerville
Shady Grove,Dorchester,C.M.E.,
A.M.E.,Dorchester,A.M.E.,Summerville
Hebron,Florence,S.B.C.,Friendfield
Olanta,Florence,S.B.C.,Olanta
Central,Florence,M.E.S.,Florence
Central,Florence,M.E.S.,Florence
Cumberland,Florence,A.M.E. Zion,Florence
Ebernezer,Florence,Baptist,Ebernezer
Church of Jesus Christ of Latter Day Saints-Mormon,Florence,Church of Jesus Christ of Latter Day Saints-Mormon,Florence
McGill Memorial,Florence,Presbyterian,
St. John's,Florence,Prot. Epis.,Florence
Immanuel,Florence,Baptist,Florence
Pentecostal Free Will Baptist Mission,Florence,Pentecostal Free Will Baptist,Florence
Magnolia Heights,Florence,S.B.C.,Florence
Florence First,Florence,S.B.C.,Florence
Trinity,Florence,Nat'l Bap. Con. (Negro),Florence
Bethel Temple or Bethel Tabernacle,Florence,Assemblies of God-Pent. Holiness,Florence
St. Lukes,Florence,United Evang. Lutheran,Florence
St. Anthony,Florence,Roman Catholic,Florence
Salvation Army-Undenom.,Florence,Salvation Army-Undenom.,Florence
Lake City,Florence,Southern Presbyterian,Lake City
Gate City Mission,Florence,A.M.E.,Florence
Mt. Zion,Florence,A.M.E.,Florence
Florence First,Florence,Presbyterian,Florence
Seventh Day Adventist (Negro),Florence,Seventh Day Adventist (Negro),Florence
Independent Pentecostal Holiness,Florence,Independent Pentecostal Holiness,
Mt. Carmel,Florence,Fire Baptized Holiness,Florence
Ebenezer Second,Florence,Baptist-Nat'l Bap.Con. Inc.,Florence
Kingsburg,Florence,S.B.C.,Kingsburg
Holiness Tabernacle,Florence,Pent. Holiness,Lake City
Pentecostal Church of First Born,Florence,Pent. Holiness,Lake City
Wesley M.E. Chapel (Negro),Florence,M.E.,Lake City
Immanuel,Florence,M.E.S.,Lake City
Red Hill,Florence,A.M.E.,Lake City
Lake City,Florence,S.B.C.,Lake City
Church of First Born,Florence,Church of God Holiness (Negro),Lake City
Gilead,Florence,Free Will Baptist,
Cameron,Florence,M.E.S.,
Scranton,Florence,M.E.S.,Scranton
Scranton Pentecostal Holiness Tabernacle,Florence,Pentecostal Holiness,Scranton
Lake City,Florence,Presbyterian,Lake City
